"index","age_permi","age_veh","genre","stat_matri","categ_socio","usage_veh","age_conduct","type_veh","bonus_malus","mont_recl","garage","source_energ","valeur_veh"
1746,224,5,"Homme","Autre","CSP60","professionnel",53,"van",72,1418.61027190332,"aucun","diesel",32570.5930296562
9363,169,6,"Homme","Autre","CSP50","perso + travail",32,"sedan",50,146.255891238671,NA,"diesel",18368.1841320321
62531,378,2,"Femme","Autre","CSP37","perso",58,"sedan",50,102.59003021148,NA,"regular",27632.3565721122
83851,454,1,"Homme","Autre","CSP1","professionnel",56,"vehicule utilitaire sport",50,1562.35649546828,NA,"diesel",43883.0635668093
161,446,1,"Homme","Seul","CSP48","professionnel",57,"sedan",50,2020.63595166163,NA,"diesel",30048.8946053944
5912,295,5,"Femme","Autre","CSP37","professionnel",43,"autre minivan",108,3262.22628398791,NA,"regular",27581.4340217801
120362,290,2,"Femme","Autre","CSP50","perso",53,"sedan",50,1168.6332326284,NA,"regular",10503.3191736465
16783,297,1,"Homme","Seul","CSP50","perso",44,"sedan",72,2975.42900302115,NA,"diesel",22830.2073265805
72902,161,2,"Homme","Autre","CSP50","professionnel",31,"sedan",50,1342.30694864048,NA,"diesel",27457.1203104742
24117,593,2,"Homme","Autre","CSP55","perso",72,"sedan",50,2198.81057401813,NA,"diesel",29415.5944085041
23238,149,2,"Homme","Autre","CSP50","perso + travail",30,"minivan",51,806.510574018127,NA,"regular",26503.5107737537
140032,468,9,"Homme","Autre","CSP60","perso",59,"sedan",68,1626.65347432024,NA,"diesel",28992.5228494826
13100,421,4,"Femme","Autre","CSP50","professionnel",67,"sedan",76,854.241389728097,NA,"regular",9794.50710632524
10457,498,1,"Femme","Autre","CSP50","voyagement professionel",61,"autre minivan",52,593.318429003021,"aucun","diesel",34531.9970060973
7717,393,6,"Femme","Autre","CSP50","perso",50,"sedan",50,719.426283987915,NA,"diesel",32900.7178733691
82977,394,1,"Femme","Autre","CSP50","perso + travail",51,"minivan",50,1028.53957703927,NA,"diesel",35204.3327631375
907,405,1,"Homme","Autre","CSP60","perso + travail",52,"sedan",50,2084.6501510574,NA,"regular",18476.5235552982
55083,550,10,"Homme","Autre","CSP50","professionnel",65,"sedan",50,1419.78851963746,NA,"regular",58685.0743925237
16003,263,6,"Homme","Autre","CSP48","professionnel",40,"sedan",78,3310.54622356495,NA,"regular",14066.0036746571
77370,453,4,"Femme","Autre","CSP60","perso + travail",60,"vehicule utilitaire sport",50,2166.95075528701,NA,"diesel",33044.4817445497
88394,156,7,"Homme","Autre","CSP50","professionnel",31,"sedan",68,859.343202416918,"aucun","regular",19592.7501041605
13420,239,5,"Femme","Seul","CSP50","professionnel",38,"sedan",68,97.3232628398791,NA,"diesel",28060.9159083474
28158,394,7,"Femme","Autre","CSP50","perso + travail",51,"vehicule utilitaire sport",50,102.59003021148,NA,"regular",32552.3875702193
102506,602,10,"Femme","Autre","CSP50","perso",82,"sedan",50,212.579456193353,"garage communautaire","diesel",34935.8008878358
128489,319,2,"Homme","Seul","CSP26","perso + travail",46,"coupe",95,884.098187311178,NA,"regular",42835.2721641401
107795,648,2,"Homme","Autre","CSP50","perso",85,"sedan",60,8185.69939577039,NA,"regular",16263.3653324273
27386,652,1,"Homme","Autre","CSP50","perso",85,"sedan",60,254.560422960725,"aucun","regular",2854.07256894506
121060,243,10,"Femme","Autre","CSP60","perso + travail",41,"sedan",54,1399.78187311178,NA,"regular",16791.7037950973
114966,619,1,"Homme","Autre","CSP60","perso",72,"coupe",50,264.940785498489,NA,"diesel",37531.5076402336
38425,374,6,"Femme","Autre","CSP50","perso",56,"sedan",50,276.958912386707,"aucun","regular",10022.4883361128
103066,186,4,"Femme","Autre","CSP50","perso + travail",33,"sedan",63,859.131117824773,NA,"diesel",27755.6285151152
17554,259,6,"Femme","Autre","CSP50","perso + travail",51,"sedan",72,345.945317220544,NA,"regular",20208.5926370231
84504,451,1,"femme","Autre","CSP66","professionnel",58,"coupe",58,310.64501510574,NA,"regular",43868.6475420348
34402,227,6,"Femme","Seul","CSP50","perso + travail",37,"vehicule utilitaire sport",50,241.576132930514,NA,"regular",31687.8165037094
9621,557,4,"Homme","Autre","CSP50","perso + travail",67,"cabriolet",50,2764.16918429003,"garage communautaire","regular",67598.8333995759
1833,375,4,"Homme","Autre","CSP50","perso + travail",50,"sedan",50,106.761027190332,NA,"diesel",27535.7566005943
18631,327,7,"Homme","Autre","CSP50","perso + travail",46,"cabriolet",80,816.195770392749,NA,"regular",39617.069542745
61162,453,2,"Homme","Autre","CSP50","professionnel",55,"vehicule utilitaire sport",50,960.919939577039,NA,"diesel",49094.6840092479
93897,446,2,"Homme","Autre","CSP50","perso + travail",59,"sedan",50,4717.48006042296,NA,"diesel",24084.3334599842
103258,580,4,"Femme","Autre","CSP50","perso",87,"sedan",50,21735.1359516616,NA,"regular",18415.0909448013
139431,441,6,"Homme","Autre","CSP50","professionnel",56,"sedan",50,398.530513595166,NA,"regular",41012.8018395641
102728,130,5,"Femme","Autre","CSP50","perso + travail",29,"sedan",125,1418.61027190332,NA,"regular",17095.4435622649
61170,494,6,"femme","Autre","CSP50","perso",70,"sedan",50,1034.71359516616,NA,"regular",21822.691388979
1188,573,7,"Homme","Autre","CSP37","perso",68,"sedan",50,81.2990936555891,NA,"regular",40244.701323507
5796,125,1,"Femme","Autre","CSP50","professionnel",29,"sedan",57,218.411782477341,NA,"regular",35244.9886815607
14369,215,5,"Homme","Seul","CSP48","perso + travail",36,"sedan",60,1547.00392749245,NA,"regular",13349.4784662011
4411,224,6,"Homme","Seul","CSP55","perso + travail",37,"sedan",57,211.02416918429,NA,"regular",12826.2983407615
91899,343,6,"Homme","Seul","CSP50","professionnel",50,"cabriolet",95,4326.52567975831,NA,"regular",45986.8416041974
38966,700,4,"Homme","Autre","CSP50","perso",81,"sedan",50,336.283685800604,"aucun","regular",15617.5551620867
108121,125,6,"Femme","Seul","CSP50","perso + travail",29,"sedan",112,6917.13897280967,NA,"regular",32206.7893294949
8582,158,6,"Homme","Autre","CSP50","perso",42,"sedan",54,555.437764350453,NA,"regular",16173.0610237983
62794,438,5,"Homme","Autre","CSP66","perso",55,"autre minivan",64,1531.72205438066,NA,"diesel",41323.2754414642
76810,126,4,"Femme","Autre","CSP50","perso + travail",35,"sedan",85,10544.5160120846,"aucun","diesel",25439.3978845662
95546,488,6,"Homme","Autre","CSP60","perso",83,"sedan",66,603.286404833837,NA,"regular",12951.0474900771
57787,480,5,"Femme","Autre","CSP50","professionnel",65,"sedan",156,15069.0580060423,NA,"regular",17889.7057967554
9545,420,6,"Homme","Autre","CSP50","perso",62,"cabriolet",50,2176.7419939577,NA,"regular",27611.2766739532
124355,417,1,"Femme","Autre","CSP50","perso + travail",53,"sedan",50,88.368580060423,NA,"diesel",22405.3485376809
25893,195,1,"Homme","Autre","CSP26","perso + travail",34,"station wagon",68,586.225377643504,NA,"diesel",38398.339958004
32984,290,6,"Femme","Autre","CSP50","perso + travail",45,"station wagon",51,529.504531722054,NA,"regular",37398.594272482
13384,261,4,"Femme","Seul","CSP42","perso",40,"sedan",133,336.778549848943,"aucun","diesel",29830.3863259486
9055,264,4,"Femme","Autre","CSP50","perso",40,"sedan",100,8075.60392749245,"aucun","diesel",30635.780101939
2574,383,6,"Femme","Autre","CSP50","professionnel",50,"sedan",50,542.429909365559,NA,"regular",16816.6364724395
58679,428,10,"Homme","Autre","CSP50","professionnel",67,"autre minivan",50,5434.59697885196,NA,"regular",39422.4190177252
60006,379,1,"Femme","Autre","CSP55","perso + travail",52,"sedan",50,1074.53836858006,NA,"regular",12643.0954369073
39638,484,6,"Homme","Autre","CSP55","perso",62,"coupe",50,102.59003021148,"garage prive","regular",43265.1915351409
89797,684,6,"Homme","Autre","CSP50","professionnel",75,"sedan",50,3409.95498489426,NA,"regular",18533.5175054476
3408,224,1,"Homme","Autre","CSP55","perso + travail",37,"sedan",50,824.59667673716,NA,"diesel",32571.9726064609
102327,770,2,"Homme","Autre","CSP50","perso",81,"station wagon",64,173.673716012085,"aucun","diesel",26921.8629286059
27942,297,1,"Homme","Seul","CSP50","professionnel",47,"sedan",50,4028.29939577039,NA,"regular",32131.5440512617
84731,222,6,"Femme","Seul","CSP42","perso + travail",38,"sedan",76,2801.87311178248,NA,"diesel",32080.1641827287
64892,455,2,"Homme","Autre","CSP60","perso + travail",56,"sedan",50,2112.96344410876,"aucun","regular",28826.7880020376
79203,204,7,"Homme","Autre","CSP50","perso",35,"station wagon",50,799.382175226586,NA,"regular",28805.5987606705
142206,402,1,"Femme","Autre","CSP50","perso",66,"coupe",50,1091.58761329305,NA,"diesel",38886.6928124609
14132,303,6,"Homme","Autre","CSP50","perso + travail",58,"sedan",50,344.755287009063,NA,"regular",22101.5204062996
61342,138,6,"Femme","Seul","CSP50","perso + travail",30,"sedan",64,1055.76888217523,NA,"regular",13907.9467567387
4533,283,2,"Femme","Autre","CSP50","professionnel",42,"sedan",50,1663.01419939577,"aucun","regular",21590.6107823808
66289,147,2,"Homme","Seul","CSP50","professionnel",33,"sedan",58,634.203625377643,NA,"regular",15249.4817746603
111856,172,6,"Homme","Seul","CSP50","perso + travail",32,"sedan",80,3671.56132930514,NA,"regular",22352.2309955014
103077,540,4,"Homme","Autre","CSP50","perso",63,"cabriolet",50,1382.08459214502,NA,"regular",23430.2362621942
7817,656,4,"Homme","Autre","CSP50","perso",79,"sedan",50,853.51087613293,NA,"diesel",26983.9004327597
95561,117,5,"Homme","Autre","CSP50","perso + travail",28,"sedan",80,346.993957703927,NA,"regular",23661.3686351161
64457,411,4,"Femme","Autre","CSP50","perso + travail",55,"sedan",50,1072.20543806647,NA,"regular",19697.3354693138
115,190,1,"Homme","Seul","CSP49","professionnel",34,"sedan",64,480.077039274924,NA,"diesel",25218.1775415186
16867,412,5,"Femme","Autre","CSP50","perso + travail",57,"sedan",50,570.990634441088,NA,"regular",22193.697254122
5096,489,1,"Homme","Autre","CSP60","perso + travail",60,"sedan",50,694.635951661631,NA,"regular",25127.6177761111
3405,309,4,"Homme","Seul","CSP26","professionnel",44,"sedan",112,105.712386706949,NA,"diesel",33155.0054218644
15649,133,6,"Femme","Seul","CSP50","perso + travail",31,"sedan",76,1780.53262839879,NA,"diesel",19722.6490462264
55670,473,1,"Homme","Autre","CSP50","perso + travail",60,"sedan",50,246.12416918429,NA,"diesel",25155.6968800968
13743,298,1,"Femme","Autre","CSP50","professionnel",54,"station wagon",50,2008.65317220544,NA,"regular",27448.0152568525
18222,630,5,"Femme","Autre","CSP50","perso",74,"sedan",50,4948.45196374622,NA,"diesel",16800.5819049551
66388,112,4,"Femme","Seul","CSP37","perso + travail",27,"sedan",60,2085.53383685801,NA,"diesel",25200.9666103259
57053,588,2,"Homme","Autre","CSP55","perso",67,"sedan",50,1030.47190332326,NA,"diesel",45263.1801479117
3800,172,4,"femme","Autre","CSP60","perso + travail",40,"vehicule utilitaire sport",50,289.412990936556,NA,"regular",35434.5234953128
16944,259,7,"Femme","Seul","CSP50","perso + travail",41,"sedan",76,63.1305135951662,"aucun","regular",14959.2702198178
37497,635,4,"Homme","Autre","CSP50","perso",80,"sedan",50,459.398791540785,NA,"regular",29728.9597602701
80956,302,6,"Homme","Autre","CSP50","perso + travail",43,"minivan",50,189.697885196375,NA,"diesel",36562.2329140537
21568,406,4,"Femme","Autre","CSP50","professionnel",52,"sedan",69,933.478549848943,"aucun","regular",27592.636225715
87936,430,2,"Homme","Autre","CSP50","voyagement professionel",57,"sedan",50,1654.34229607251,"garage communautaire","diesel",47022.2277168367
47076,381,7,"Femme","Autre","CSP60","perso + travail",57,"sedan",80,7460.98277945619,NA,"diesel",23463.4000707742
64324,391,5,"Femme","Autre","CSP50","perso + travail",50,"sedan",62,155.210574018127,NA,"regular",13771.9199093013
1650,460,6,"Homme","Autre","CSP50","professionnel",56,"autre minivan",50,1418.61027190332,NA,"diesel",38065.0206650173
4092,465,4,"Femme","Autre","CSP50","professionnel",59,"sedan",50,1911.22386706949,NA,"regular",29810.4897621914
54691,174,7,"Femme","Autre","CSP46","perso + travail",33,"sedan",60,5745.13595166163,"garage communautaire","regular",23475.4450633946
61204,492,1,"Homme","Autre","CSP1","perso + travail",59,"sedan",54,13066.5317220544,NA,"regular",20912.9954451323
24368,494,1,"Homme","Autre","CSP48","perso + travail",59,"sedan",54,14245.9341389728,NA,"regular",20558.2226978453
70636,306,6,"Homme","Autre","CSP55","professionnel",54,"van",50,628.112084592145,NA,"diesel",35116.2513678526
94552,196,6,"Femme","Autre","CSP50","professionnel",34,"sedan",64,301.631419939577,NA,"regular",29153.8955044786
80172,259,4,"Homme","Seul","CSP50","professionnel",39,"van",80,4326.52567975831,NA,"diesel",19337.8679859074
47819,388,7,"Homme","Seul","CSP50","perso + travail",51,"sedan",50,94.02416918429,NA,"regular",10644.580121108
2529,239,7,"Femme","Seul","CSP50","professionnel",38,"station wagon",100,130.47915407855,NA,"diesel",21462.5100779598
35840,134,6,"Homme","Autre","CSP42","perso + travail",29,"sedan",90,8949.78126888217,NA,"diesel",30109.8760318833
13076,674,1,"Femme","Autre","CSP1","perso",76,"sedan",50,97.3232628398791,"aucun","regular",29316.8045754106
3395,402,7,"Femme","Autre","CSP50","perso + travail",56,"vehicule utilitaire sport",50,677.303927492447,NA,"regular",31907.2885280882
108636,159,6,"Homme","Autre","CSP60","perso",31,"sedan",76,324.842900302115,NA,"regular",21580.8593356911
37268,446,1,"Femme","Autre","CSP50","perso",75,"sedan",50,329.88580060423,NA,"regular",24100.0272480447
14222,293,2,"Homme","Autre","CSP37","professionnel",42,"autre minivan",50,3268.45921450151,NA,"regular",32519.3461860165
